ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9879808,HX530545,12/04/2014 10:40:00 PM,048XX S MARSHFIELD AVE,0560,ASSAULT,SIMPLE,STREET,false,true,0931,009,20,61,08A,1166195,1872690,2014,12/11/2014 12:47:57 PM,41.806238211,-87.66597948,"(41.806238211, -87.66597948)"
9879826,HX530600,12/04/2014 10:35:00 PM,0000X E ROOSEVELT RD,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,0131,001,2,33,08A,1177030,1895038,2014,12/11/2014 12:47:57 PM,41.867325107,-87.625565379,"(41.867325107, -87.625565379)"
9879812,HX530524,12/04/2014 09:50:00 PM,046XX N MAGNOLIA AVE,0560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,1913,019,46,3,08A,1167104,1931227,2014,12/11/2014 12:47:57 PM,41.966848647,-87.660963392,"(41.966848647, -87.660963392)"
9879724,HX530495,12/04/2014 09:30:00 PM,013XX W 76TH ST,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,true,false,0612,006,17,71,08A,1168610,1854408,2014,12/11/2014 12:47:57 PM,41.756018376,-87.657649003,"(41.756018376, -87.657649003)"
9879636,HX530438,12/04/2014 08:10:00 PM,027XX S KEDVALE AVE,0560,ASSAULT,SIMPLE,BAR OR TAVERN,false,false,1031,010,22,30,08A,1149116,1885641,2014,12/11/2014 12:47:57 PM,41.842124391,-87.728285287,"(41.842124391, -87.728285287)"
9882339,HX533590,12/04/2014 08:00:00 PM,025XX E 106TH ST,0560,ASSAULT,SIMPLE,GROCERY FOOD STORE,false,false,0434,004,10,51,08A,1194580,1835181,2014,12/11/2014 12:47:57 PM,41.702658637,-87.563106552,"(41.702658637, -87.563106552)"
9879616,HX530412,12/04/2014 07:30:00 PM,013XX E 47TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0222,002,4,39,08A,1186127,1874149,2014,12/11/2014 12:47:57 PM,41.809793854,-87.592830631,"(41.809793854, -87.592830631)"
9879694,HX530445,12/04/2014 07:30:00 PM,002XX S CICERO AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,1113,011,28,25,04A,1144474,1898281,2014,12/11/2014 12:47:57 PM,41.876898678,-87.745002411,"(41.876898678, -87.745002411)"
9879692,HX530426,12/04/2014 07:00:00 PM,051XX W CHICAGO AVE,0560,ASSAULT,SIMPLE,RESTAURANT,false,false,1531,015,28,25,08A,1141635,1904798,2014,12/11/2014 12:47:57 PM,41.894835057,-87.755265306,"(41.894835057, -87.755265306)"
9879770,HX530538,12/04/2014 06:19:00 PM,071XX W DIVERSEY AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,true,false,2511,025,36,18,04A,1127838,1917841,2014,12/11/2014 12:47:57 PM,41.930870695,-87.805644166,"(41.930870695, -87.805644166)"
9879677,HX530326,12/04/2014 06:15:00 PM,021XX E 87TH ST,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,0412,004,8,45,08A,1191717,1847744,2014,12/11/2014 12:47:57 PM,41.737202561,-87.573183761,"(41.737202561, -87.573183761)"
9879685,HX530260,12/04/2014 05:50:00 PM,033XX W BEACH AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,1422,014,26,23,08A,1153954,1909482,2014,12/11/2014 12:47:57 PM,41.907451719,-87.709895647,"(41.907451719, -87.709895647)"
9879594,HX530252,12/04/2014 05:45:00 PM,007XX W 79TH ST,0560,ASSAULT,SIMPLE,DEPARTMENT STORE,false,false,0621,006,17,71,08A,1172452,1852522,2014,12/11/2014 12:47:57 PM,41.750759285,-87.643624352,"(41.750759285, -87.643624352)"
